chat_number,text_sent_by_user
30,Quero uma foto dele
30,Quero conhecer sua história
30,tchau
30,3-Regular
31,"/get_started{'username'='user_0.4357544905452573', 'password'='pass_0.4357544905452573'}"
31,oi
31,quadrinhos
31,celestial
31,Queria uma foto do quadrinho
31,Quais herois aparecem no quadrinho
31,Qual a data de lançamento
31,tchau
31,4-Bom
32,"/get_started{'username'='user_0.5709622525010181', 'password'='pass_0.5709622525010181'}"
32,oi
32,quadrinhos
32,motoqueiro fantasma
32,Queria uma foto do quadrinho
32,Quem escreveu o quadrinho
32,tchau
32,2-Ruim
33,"/get_started{'username'='user_0.9798504939745427', 'password'='pass_0.9798504939745427'}"
33,oi
33,quadrinhos
33,ultimato
33,Queria uma foto do quadrinho
33,Qual a data de lançamento
33,tchau
33,3-Regular
34,"/get_started{'username'='user_0.3332083794418699', 'password'='pass_0.3332083794418699'}"
34,oi
34,quadrinhos
34,star
34,Queria uma foto do quadrinho
34,Qual o preço do quadrinho
34,Quais herois aparecem no quadrinho
34,tchau
34,3-Regular
35,"/get_started{'username'='user_0.828737573776821', 'password'='pass_0.828737573776821'}"
35,oi
35,herois
35,homem de ferro
35,Quero conhecer sua história
35,Quero uma foto dele
35,tchau
35,5-Excelente
